사번,성명,본부,팀,직군,직급레벨,성과등급,나이,근속연수(년),연봉(원),인재등급,핵심인재점수,퇴직위험도,퇴직위험예측확률,위험요인
SKFNB0296,조수현,구미공장,구미생산2팀,M,3.0,S,20,0,39600000,Critical,171,45,0.0037954876108894655,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0246,황지환,전주공장,전주운영팀,M,5.0,A,47,15,60038000,Critical,170,35,0.0023338709121390098,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0158,최은우,구미공장,구미운영팀,M,5.0,A,45,17,61260000,Critical,170,35,0.0024415540359434547,"초과근무과다, 보상조정없음"
SKFNB0450,서은서,사업전략본부,B2B마케팅팀,U,5.0,A,32,7,48260000,Critical,169,35,0.0006177679786994623,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0408,홍성민,전주공장,전주생산3팀,M,5.0,A,36,11,50397000,Critical,169,25,0.0017426471108779472,"초과근무높음, 보상조정없음"
SKFNB0649,이현준,경영지원본부,경영기획팀,U,4.0,A,29,4,46657000,Critical,169,35,0.0018853383264773689,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0252,홍지호,구미공장,구미생산1팀,M,5.0,A,34,9,49328000,Critical,169,35,0.002086783575521023,"초과근무과다, 연차적게사용"
SKFNB0067,서우진,사업전략본부,상품개발팀,U,3.0,A,30,5,47191000,Critical,169,35,0.001876998507844339,"초과근무과다, 보상조정없음"
SKFNB0198,권수현,구미공장,구미생산2팀,U,5.0,A,43,16,63176000,Critical,169,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0962,이채원,유통본부,물류센터운영팀,S,,S,29,0,35200000,Critical,168,20,0.0016377915299981307,"연차적게사용, 보상조정없음"
SKFNB0405,안주원,전주공장,전주생산2팀,M,5.0,A,37,11,50397000,Critical,168,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0381,강다은,구미공장,구미생산3팀,M,5.0,A,39,11,50397000,Critical,168,55,0.9417421428407452,"초과근무과다, 연차미사용, 보상조정없음"
SKFNB0530,오재윤,구미공장,구미운영팀,M,5.0,A,32,7,41365000,Critical,167,35,0.002086783575521023,"초과근무과다, 연차적게사용"
SKFNB0526,권하린,경영지원본부,인사팀,U,4.0,A,31,6,47725000,Critical,167,15,0.0015526507314154914,초과근무높음
SKFNB0115,장준우,구미공장,구미생산1팀,M,5.0,A,53,19,72894000,Critical,167,35,0.0020512143620066924,"초과근무과다, 연차적게사용"
SKFNB0135,한지민,전주공장,전주생산3팀,M,5.0,A,45,18,61870000,Critical,167,35,0.002080897737787367,"초과근무과다, 보상조정없음"
SKFNB0120,정은우,구미공장,구미운영팀,M,5.0,A,47,19,72894000,Critical,166,35,0.0019452354930650571,"초과근무과다, 연차적게사용"
SKFNB0023,윤우진,전주공장,전주생산2팀,M,5.0,A,57,25,77168000,Critical,166,35,0.0022453119417319358,"초과근무과다, 보상조정없음"
SKFNB0282,안현우,전주공장,전주생산1팀,M,5.0,A,42,14,51999000,Critical,166,35,0.0009123067613713654,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0604,정태윤,전주공장,전주생산2팀,M,4.0,A,35,7,48260000,Critical,166,35,0.002233806513556758,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0025,서현우,전주공장,전주생산1팀,M,5.0,A,53,25,89570000,Critical,165,35,0.001341191891466104,"초과근무과다, 보상조정없음"
SKFNB0376,김하준,구미공장,구미생산1팀,M,4.0,A,44,11,57596000,Critical,165,25,0.001687385419756194,"초과근무높음, 연차적게사용"
SKFNB0490,신은우,유통본부,배송운영팀,U,4.0,A,44,10,71232000,Critical,165,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0027,서건우,구미공장,구미생산3팀,M,5.0,A,51,24,76456000,Critical,165,35,0.0022942220920712077,"초과근무과다, 보상조정없음"
SKFNB0274,장현우,구미공장,구미생산1팀,M,5.0,A,52,14,59428000,Critical,165,35,0.0022942220920712077,"초과근무과다, 보상조정없음"
SKFNB0048,임서준,전주공장,전주운영팀,M,5.0,A,51,23,75743000,Critical,164,25,0.0021963330731053104,초과근무과다
SKFNB0942,장지아,경영지원본부,재무팀,S,,S,24,0,35200000,Critical,164,20,0.001779338398843003,"연차적게사용, 보상조정없음"
SKFNB0500,조예린,사업전략본부,대외협력팀,U,5.0,A,40,9,58724000,Critical,164,25,0.002535423975612936,"초과근무높음, 연차적게사용"
SKFNB0259,한다은,전주공장,전주생산2팀,M,5.0,A,51,14,59428000,Critical,163,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0057,황민재,전주공장,전주생산3팀,M,5.0,A,51,22,75031000,Critical,163,25,0.0017426471108779472,"초과근무높음, 보상조정없음"
SKFNB0098,이도윤,전주공장,전주생산2팀,M,5.0,A,55,20,73606000,Critical,162,25,0.001977829990736558,"초과근무높음, 보상조정없음"
SKFNB0123,김승현,전주공장,전주생산3팀,M,5.0,A,53,19,72894000,Critical,162,35,0.002158900628743922,"초과근무과다, 보상조정없음"
SKFNB0651,정소윤,전주공장,전주운영팀,M,5.0,A,41,7,48260000,Critical,162,35,0.0019783859522385446,"초과근무과다, 보상조정없음"
SKFNB0227,장은우,경영지원본부,재무팀,U,5.0,A,38,13,61268000,Critical,162,0,0.0018915971114938609,
SKFNB0680,황준우,구미공장,구미생산1팀,M,3.0,A,34,6,40908000,Critical,162,45,0.7318710807454585,"초과근무과다, 연차미사용"
SKFNB0389,서도윤,구미공장,구미생산2팀,M,5.0,A,51,11,57596000,Critical,161,35,0.002149305476255688,"초과근무과다, 보상조정없음"
SKFNB0211,신서윤,구미공장,구미생산2팀,M,5.0,A,50,15,60038000,Critical,161,35,0.0028120541892591782,"초과근무과다, 보상조정없음"
SKFNB0187,임민준,전주공장,전주생산2팀,M,5.0,A,40,15,60038000,Critical,161,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0584,서은서,구미공장,구미운영팀,M,3.0,A,33,8,48794000,Critical,161,45,0.0022208237415910644,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0331,송준호,전주공장,전주생산1팀,M,4.0,A,49,13,58817000,Critical,161,25,0.0019022277583679418,초과근무과다
SKFNB0079,신성준,구미공장,구미생산3팀,M,5.0,A,57,21,74319000,Critical,161,35,0.0020375727456237594,"초과근무과다, 보상조정없음"
SKFNB0090,서승현,구미공장,구미운영팀,U,5.0,A,54,20,78864000,Critical,160,35,0.002112672833471502,"초과근무과다, 보상조정없음"
SKFNB0233,박성준,전주공장,전주생산1팀,M,4.0,A,37,12,50931000,Critical,160,45,0.0015828095655110726,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0522,김지환,전주공장,전주생산3팀,M,5.0,A,38,9,49328000,Critical,160,25,0.0010506503132713789,"초과근무높음, 보상조정없음"
SKFNB0484,황현준,구미공장,구미생산2팀,M,5.0,A,39,10,49862000,Critical,160,25,0.00238603677756495,초과근무과다
SKFNB0696,류하은,구미공장,구미생산2팀,M,4.0,A,34,6,40908000,Critical,160,35,0.0020665813398914436,"초과근무과다, 보상조정없음"
SKFNB0097,임은서,전주공장,전주운영팀,M,5.0,A,42,17,61260000,Critical,159,45,0.0018468798852885914,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0656,박윤서,경영지원본부,인사팀,U,3.0,A,29,4,46657000,Critical,159,25,0.0020948728063189567,"초과근무높음, 연차적게사용"
SKFNB0485,조현우,구미공장,구미생산3팀,M,4.0,A,32,7,41365000,Critical,159,35,0.0015811056100618148,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0514,류하린,전주공장,전주생산2팀,M,4.0,A,37,9,49328000,Critical,159,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0543,신윤서,전주공장,전주운영팀,M,3.0,A,37,9,49328000,Critical,158,35,0.0015828095655110726,"초과근무과다, 연차적게사용"
SKFNB0003,이성민,구미공장,구미생산1팀,M,5.0,A,56,31,94531000,Critical,158,35,0.0010979513284779356,"초과근무과다, 보상조정없음"
SKFNB0992,서준우,전주공장,전주생산2팀,M,5.0,A,48,0,38160000,Critical,158,35,0.002405166405089821,"초과근무과다, 보상조정없음"
SKFNB0478,황지훈,전주공장,전주생산3팀,M,4.0,A,40,10,49862000,Critical,158,35,0.0021118027327840442,"초과근무과다, 보상조정없음"
SKFNB0272,안은우,전주공장,전주생산2팀,U,5.0,A,43,14,74285000,Critical,158,25,0.0019531269792050715,"초과근무높음, 보상조정없음"
SKFNB0495,정지호,전주공장,전주생산1팀,U,5.0,A,31,6,47725000,Critical,158,35,0.0017276961961340217,"초과근무과다, 보상조정없음"
SKFNB0479,조건우,사업전략본부,B2C마케팅팀,U,4.0,A,43,10,71232000,Critical,158,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0188,박준우,전주공장,전주생산3팀,M,5.0,A,40,15,52534000,Critical,158,15,0.0015851056766166293,초과근무높음
SKFNB0671,이지호,전주공장,전주생산1팀,U,3.0,A,30,5,47191000,Critical,158,35,0.0068134078790769,"초과근무높음, 연차미사용"
SKFNB0482,오성민,전주공장,전주운영팀,M,4.0,A,36,10,49862000,Critical,157,45,0.0019208264186770729,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0094,윤유나,전주공장,전주생산1팀,M,5.0,A,54,20,73606000,Critical,157,35,0.001481872793400411,"초과근무과다, 보상조정없음"
SKFNB0215,김성민,전주공장,전주생산3팀,M,5.0,A,44,15,60038000,Critical,157,35,0.0012823214972147695,"초과근무과다, 보상조정없음"
SKFNB0212,이하린,전주공장,전주운영팀,M,5.0,A,42,15,52534000,Critical,157,45,0.0017275775184223434,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0944,홍서준,전주공장,전주생산2팀,M,5.0,A,59,0,38160000,Critical,156,45,0.0021077234382526353,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0762,권민준,사업전략본부,상품개발팀,U,2.0,A,28,3,46123000,Critical,156,35,0.0017658080162226589,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0112,정하윤,전주공장,전주생산2팀,U,5.0,A,55,19,78101000,Critical,156,25,0.001620476132487215,"초과근무높음, 보상조정없음"
SKFNB0681,송재윤,전주공장,전주운영팀,M,3.0,A,33,6,40908000,Critical,156,35,0.0021963330731053104,"초과근무과다, 보상조정없음"
SKFNB0661,임현준,유통본부,물류센터운영팀,U,4.0,A,28,3,46123000,Critical,156,15,0.0014291111129199467,초과근무높음
SKFNB0101,임현우,구미공장,구미운영팀,M,5.0,A,59,20,73606000,Critical,156,25,0.0011084442611362202,초과근무과다
SKFNB0029,오주원,전주공장,전주생산2팀,M,5.0,A,48,23,75743000,Critical,156,25,0.0021963330731053104,초과근무과다
SKFNB0699,류준호,구미공장,구미운영팀,M,5.0,A,41,6,47725000,Critical,155,35,0.0017341510784407194,"초과근무과다, 연차적게사용"
SKFNB0004,이건우,구미공장,구미운영팀,M,5.0,A,53,28,92050000,Critical,155,15,0.0004261945375316729,초과근무높음
SKFNB0238,임은우,구미공장,구미생산1팀,M,5.0,A,42,15,60038000,Critical,155,25,0.0019550726945079477,초과근무과다
SKFNB0136,홍준우,유통본부,본부장실,Executive,,A,50,18,46403000,Critical,155,35,0.0016823453837995338,"초과근무과다, 보상조정없음"
SKFNB0705,류준우,사업전략본부,상품개발팀,U,4.0,A,35,5,47191000,Critical,154,45,0.0020064609918394372,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0704,임현우,경영지원본부,경영기획팀,U,4.0,A,28,3,46123000,Critical,154,25,0.0018731690412809225,"초과근무높음, 연차적게사용"
SKFNB0652,박채원,경영지원본부,인사팀,U,3.0,A,36,7,57452000,Critical,154,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0689,이재윤,유통본부,S&OP수요기획팀,U,3.0,A,29,4,46657000,Critical,154,25,0.0010158873130014711,"초과근무높음, 보상조정없음"
SKFNB0717,이현우,전주공장,전주생산2팀,M,3.0,A,36,5,40450000,Critical,154,45,0.0033441910075317272,"초과근무과다, 연차미사용"
SKFNB0467,황유준,경영지원본부,회계팀,U,4.0,A,36,10,59360000,Critical,153,25,0.0022804834379181486,"초과근무높음, 연차적게사용"
SKFNB0515,강하윤,경영지원본부,조직문화팀,U,4.0,A,39,9,58724000,Critical,153,35,0.0022942220920712077,"초과근무과다, 보상조정없음"
SKFNB0698,이준호,전주공장,전주생산1팀,M,4.0,A,35,6,40908000,Critical,153,35,0.0013124603105562711,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0736,강지윤,사업전략본부,B2B마케팅팀,U,2.0,A,30,5,47191000,Critical,153,35,0.09770644509731546,"초과근무높음, 연차미사용"
SKFNB0908,홍민재,구미공장,구미생산1팀,U,5.0,A,55,1,45054000,Critical,152,15,0.0021487015867491742,초과근무높음
SKFNB0635,권지환,구미공장,구미생산3팀,M,3.0,A,38,7,48260000,Critical,152,25,0.002009800633884653,초과근무과다
SKFNB0877,박현우,구미공장,구미생산1팀,M,5.0,A,59,1,38618000,Critical,152,25,0.0023254228655528574,초과근무과다
SKFNB0338,이준우,구미공장,구미생산2팀,M,4.0,A,35,10,49862000,Critical,152,45,0.0018768695936436284,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0866,조시우,전주공장,전주생산2팀,M,5.0,A,59,1,38618000,Critical,152,35,0.0008654249678684489,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0721,김지윤,전주공장,전주생산3팀,U,4.0,A,30,5,47191000,Critical,152,35,0.0008849002085089021,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0684,임민준,구미공장,구미운영팀,M,3.0,A,48,6,47725000,Critical,152,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0801,윤지호,유통본부,자재유통팀,U,2.0,A,32,3,46123000,Critical,152,25,0.0016253357405698083,"초과근무높음, 연차적게사용"
SKFNB0821,류은우,사업전략본부,B2B마케팅팀,U,3.0,A,31,3,46123000,Critical,152,35,0.0007320131730970368,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0572,송지훈,구미공장,구미생산1팀,U,4.0,A,41,8,58088000,Critical,151,35,0.001321864857300034,"초과근무과다, 보상조정없음"
SKFNB0258,안지민,경영지원본부,인사팀,U,3.0,A,27,2,45588000,Critical,151,10,0.0016857724720041863,연차적게사용
SKFNB0709,서유준,유통본부,물류센터운영팀,U,4.0,A,37,5,56180000,Critical,151,25,0.0015851056766166293,"초과근무높음, 보상조정없음"
SKFNB0692,김연우,경영지원본부,경영기획팀,U,4.0,A,41,6,56816000,Critical,151,15,0.0017221070012143232,초과근무높음
SKFNB0745,류서윤,경영지원본부,경영기획팀,U,2.0,A,37,5,56180000,Critical,150,25,0.0023901965838533782,"초과근무높음, 연차적게사용"
SKFNB0754,박승현,구미공장,구미생산3팀,U,2.0,A,40,4,55544000,Critical,150,35,0.0023901965838533782,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0746,서지호,구미공장,구미생산3팀,M,3.0,A,32,5,40450000,Critical,150,45,0.0018768695936436284,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0823,신서준,전주공장,전주생산2팀,M,2.0,A,30,2,39076000,Critical,150,35,0.0027408153162855778,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0109,장재윤,구미공장,구미운영팀,U,4.0,A,38,13,61268000,Critical,150,25,0.0017221070012143232,"초과근무높음, 보상조정없음"
SKFNB0568,임성준,구미공장,구미생산2팀,M,4.0,A,29,4,39992000,Critical,149,45,0.002204138115031509,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0799,임가은,경영지원본부,재무팀,U,3.0,A,27,2,45588000,Critical,149,15,0.0015526507314154914,초과근무높음
SKFNB1000,한서윤,경영지원본부,몰입환경조성팀,U,1.0,A,22,0,44520000,Critical,148,35,0.0019771154962341143,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0571,오도윤,구미공장,구미운영팀,U,3.0,A,31,6,56816000,Critical,148,45,0.1031676927918052,"초과근무과다, 연차미사용"
SKFNB0653,한시우,전주공장,전주생산1팀,U,3.0,A,29,4,46657000,Critical,148,35,0.0015506761348656395,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0114,박지환,전주공장,전주생산3팀,M,2.0,A,25,0,38160000,Critical,148,55,0.9188304482291814,"초과근무과다, 연차미사용, 보상조정없음"
SKFNB0764,서유준,경영지원본부,조직문화팀,U,3.0,A,26,1,45054000,Critical,148,15,0.0015526507314154914,초과근무높음
SKFNB0841,신예은,경영지원본부,재무팀,U,3.0,A,43,2,45588000,Critical,147,45,0.0017341510784407194,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0959,황지윤,구미공장,구미생산1팀,M,5.0,A,47,0,38160000,Critical,146,35,0.0017610241359919552,"초과근무과다, 보상조정없음"
SKFNB0997,송태윤,전주공장,전주운영팀,M,4.0,A,37,0,38160000,Critical,144,35,0.0020678688282218787,"초과근무과다, 연차적게사용"
SKFNB0492,장윤서,유통본부,구매소싱팀,U,2.0,A,35,10,59360000,Critical,143,35,0.000773368411463931,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0791,신시아,사업전략본부,대외협력팀,U,3.0,A,40,3,46123000,Critical,143,45,0.0015465760433484017,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0938,정주원,전주공장,전주생산3팀,M,2.0,A,27,0,38160000,Critical,142,35,0.0034310949315402932,"초과근무과다, 보상조정없음"
SKFNB0984,김주원,구미공장,구미생산2팀,M,3.0,A,37,0,38160000,Critical,142,55,0.8229401859225814,"초과근무과다, 연차미사용, 보상조정없음"
SKFNB0459,송승현,사업전략본부,B2B마케팅팀,U,4.0,B,43,10,67200000,Critical,141,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0624,류재윤,전주공장,전주운영팀,M,5.0,B,45,7,45528000,Critical,140,35,0.0023015286020746564,"초과근무과다, 보상조정없음"
SKFNB0117,신성준,구미공장,구미생산3팀,M,5.0,B,41,16,57216000,Critical,140,35,0.0028120541892591782,"초과근무과다, 보상조정없음"
SKFNB0031,박서준,경영지원본부,재무팀,U,4.0,B,42,17,72240000,Critical,140,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0906,박다은,사업전략본부,B2C마케팅팀,S,,A,26,1,34327000,Critical,140,0,0.0013171536860158027,
SKFNB0146,서준호,구미공장,구미운영팀,M,3.0,A,26,1,38618000,Critical,139,15,0.001272020250002506,초과근무높음
SKFNB0169,조수현,구미공장,구미생산3팀,M,5.0,B,42,16,57216000,Critical,139,25,0.002101825721210161,"초과근무높음, 보상조정없음"
SKFNB0190,윤유준,구미공장,구미생산3팀,M,5.0,B,44,16,57216000,Critical,139,35,0.0015941154959008446,"초과근무과다, 보상조정없음"
SKFNB0164,정민준,구미공장,구미운영팀,M,5.0,B,48,17,57792000,Critical,139,35,0.0020665813398914436,"초과근무과다, 보상조정없음"
SKFNB0529,최태윤,전주공장,전주생산2팀,M,5.0,B,50,9,46536000,Critical,139,45,0.0019884591097169284,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0782,조유나,구미공장,구미생산1팀,U,4.0,B,38,4,52400000,Critical,139,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0144,장지윤,전주공장,전주생산3팀,M,5.0,B,55,17,67424000,Critical,139,35,0.002022514388085013,"초과근무과다, 보상조정없음"
SKFNB0148,서하준,구미공장,구미생산3팀,M,5.0,B,43,17,57792000,Critical,138,45,0.0020064609918394372,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0167,박서연,구미공장,구미생산1팀,M,5.0,B,43,17,57792000,Critical,138,25,0.00238603677756495,초과근무과다
SKFNB0199,송지환,구미공장,구미운영팀,M,5.0,B,45,16,57216000,Critical,138,45,0.001928133884768787,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0182,장현우,전주공장,전주생산3팀,M,5.0,B,38,13,48552000,Critical,138,45,0.0015828095655110726,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0859,한서연,유통본부,이커머스운영팀,S,,A,24,0,33920000,Critical,138,20,0.0016377915299981307,"연차적게사용, 보상조정없음"
SKFNB0924,조하린,경영지원본부,경영기획팀,S,,A,28,0,33920000,Critical,138,20,0.001779338398843003,"연차적게사용, 보상조정없음"
SKFNB0470,신시아,전주공장,전주생산1팀,U,4.0,B,41,10,56000000,Critical,138,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0063,최민준,전주공장,전주운영팀,M,5.0,B,43,18,58368000,Critical,138,35,0.0018468798852885914,"초과근무과다, 연차적게사용"
SKFNB0024,오도윤,구미공장,구미생산2팀,M,5.0,B,54,25,72800000,Critical,138,35,0.001609966045820897,"초과근무과다, 보상조정없음"
SKFNB0414,안지훈,전주공장,전주생산3팀,M,5.0,B,45,11,47544000,Critical,138,35,0.0013249923653188055,"초과근무과다, 보상조정없음"
SKFNB0073,황태윤,전주공장,전주생산2팀,M,5.0,B,55,21,70112000,Critical,138,35,0.0011561628955526412,"초과근무과다, 연차적게사용"
SKFNB0248,신유준,구미공장,구미운영팀,M,5.0,B,46,15,56640000,Critical,137,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0015,한성준,전주공장,전주생산1팀,M,5.0,B,52,26,73472000,Critical,137,25,0.0028655153952691684,초과근무과다
SKFNB0985,김하준,구미공장,구미생산1팀,M,1.0,A,33,0,38160000,Critical,137,45,0.044161722588231415,"초과근무과다, 연차미사용"
SKFNB0265,윤준우,구미공장,구미운영팀,M,5.0,B,33,8,46032000,Critical,137,45,0.002086783575521023,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0292,송건우,사업전략본부,B2B마케팅팀,U,1.0,A,33,8,58088000,Critical,137,25,0.001806038148200882,"초과근무높음, 연차적게사용"
SKFNB0284,류우진,구미공장,구미운영팀,M,5.0,B,49,14,56064000,Critical,137,35,0.002149305476255688,"초과근무과다, 보상조정없음"
SKFNB0960,김수빈,AI/DT조직,Data운영팀,U,3.0,A,30,0,44520000,Critical,137,35,0.0018863274596249415,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0311,윤지훈,AI/DT조직,AI기획팀,U,2.0,B,36,11,56600000,Critical,137,35,0.0020665813398914436,"초과근무과다, 보상조정없음"
SKFNB0337,박은우,전주공장,전주운영팀,U,4.0,B,44,12,68640000,Critical,137,35,0.002456683571698527,"초과근무과다, 보상조정없음"
SKFNB0504,조연우,구미공장,구미생산3팀,M,5.0,B,38,9,46536000,Critical,137,35,0.0019931164136421497,"초과근무과다, 보상조정없음"
SKFNB0081,임주원,전주공장,전주생산1팀,M,5.0,B,41,16,57216000,Critical,137,25,0.001934674615921899,"초과근무높음, 보상조정없음"
SKFNB0042,임수현,구미공장,구미생산3팀,M,5.0,B,52,23,71456000,Critical,137,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0044,강서준,전주공장,전주생산2팀,M,5.0,B,46,21,70112000,Critical,137,35,0.002741160929116952,"초과근무과다, 보상조정없음"
SKFNB0195,임지민,전주공장,전주생산2팀,M,5.0,B,46,16,57216000,Critical,137,25,0.0021963330731053104,초과근무과다
SKFNB0214,한민준,구미공장,구미생산3팀,M,5.0,B,45,15,56640000,Critical,137,35,0.00238603677756495,"초과근무과다, 보상조정없음"
SKFNB0154,박주원,전주공장,전주생산1팀,M,5.0,B,45,17,57792000,Critical,137,35,0.0016823453837995338,"초과근무과다, 보상조정없음"
